Event	ID	Name			Wwise Object Path	Notes
	38601912	gameUnpaused			\Default Work Unit\Music\gameUnpaused	
	303266102	menuHover			\Default Work Unit\UI\menuAudio\menuHover	
	471385319	transitionState			\Default Work Unit\Music\levelStateSetters\transitionState	
	615317676	doorKnightDie			\Default Work Unit\Objects\doorEvents\doorKnight\doorKnightDie	
	674637734	doorLaserWarn			\Default Work Unit\Objects\doorEvents\doorLaser\doorLaserWarn	
	904027786	playerKeyGain			\Default Work Unit\Player\playerKeyGain	
	924228849	creditState			\Default Work Unit\Music\levelStateSetters\creditState	
	935463065	gamePaused			\Default Work Unit\Music\gamePaused	
	1046624244	doorVacuumEvent			\Default Work Unit\Objects\doorEvents\doorSuck\doorVacuumEvent	
	1065147432	springDie			\Default Work Unit\NPCs\enemySpring\springDie	
	1122283870	musicStart			\Default Work Unit\Music\musicStart	
	1174275515	healthDropped			\Default Work Unit\Objects\drops\healthDropped	
	1179082440	titleState			\Default Work Unit\Music\levelStateSetters\titleState	
	1218812578	sliderClick			\Default Work Unit\UI\menuAudio\sliderClick	
	1221709037	speedUp			\Default Work Unit\UI\timeEffects\speedUp	
	1314825040	playerKeyUsed			\Default Work Unit\Player\playerAttacks\playerKeyUsed	
	1399705530	levelOneState			\Default Work Unit\Music\levelStateSetters\levelOneState	
	1407830652	doorTentacleSlam			\Default Work Unit\Objects\doorEvents\doorTentacle\doorTentacleSlam	
	1423690258	testSuccess			\Default Work Unit\UI\testAudio\testSuccess	
	1435302941	testFail			\Default Work Unit\UI\testAudio\testFail	
	1697683977	doorClosed			\Default Work Unit\Objects\doorEvents\doorClosed	
	1708937119	waveComplete			\Default Work Unit\UI\waveComplete	
	1775438520	playerSwing			\Default Work Unit\Player\playerAttacks\playerSwing	
	1818308409	ambientStart			\Default Work Unit\Ambient\ambientStart	
	1843531235	playButton			\Default Work Unit\UI\menuAudio\playButton	
	2014340411	doorKnightSpawn			\Default Work Unit\Objects\doorEvents\doorKnight\doorKnightSpawn	
	2136737028	doorVacuumStop			\Default Work Unit\Objects\doorEvents\doorSuck\doorVacuumStop	
	2198663230	doorLaserStop			\Default Work Unit\Objects\doorEvents\doorLaser\doorLaserStop	
	2209591688	powerSelect			\Default Work Unit\UI\powerSelect	
	2420079027	doorTentacleSwing			\Default Work Unit\Objects\doorEvents\doorTentacle\doorTentacleSwing	
	2525052962	playerDash			\Default Work Unit\Player\playerDash	
	2634859593	menuBack			\Default Work Unit\UI\menuAudio\menuBack	
	2649542654	doorOpened			\Default Work Unit\Objects\doorEvents\doorOpened	
	2780352335	menuForward			\Default Work Unit\UI\menuAudio\menuForward	
	3011728793	bossState			\Default Work Unit\Music\levelStateSetters\bossState	
	3101299514	slowDown			\Default Work Unit\UI\timeEffects\slowDown	
	3322069076	doorTentacleLoom			\Default Work Unit\Objects\doorEvents\doorTentacle\doorTentacleLoom	
	3370401445	sliderUnclick			\Default Work Unit\UI\menuAudio\sliderUnclick	
	3400151318	playerEatCrayon			\Default Work Unit\Player\playerHealth\playerEatCrayon	
	3431269606	enemySucked			\Default Work Unit\Objects\doorEvents\doorSuck\enemySucked	
	3453203440	enemySpawn			\Default Work Unit\NPCs\enemySpawn	
	3537581393	playerHurt			\Default Work Unit\Player\playerHealth\playerHurt	
	3588219112	faceDie			\Default Work Unit\NPCs\enemyFace\faceDie	
	3831688773	playerHit			\Default Work Unit\Player\playerAttacks\playerHit	
	3923079391	retryOrQuit			\Default Work Unit\UI\timeEffects\retryOrQuit	
	3966601280	playerDie			\Default Work Unit\Player\playerHealth\playerDie	
	3986149976	keyDropped			\Default Work Unit\Objects\drops\keyDropped	
	4011858643	testStart			\Default Work Unit\UI\testAudio\testStart	
	4161954578	doorLaserFire			\Default Work Unit\Objects\doorEvents\doorLaser\doorLaserFire	

State Group	ID	Name			Wwise Object Path	Notes
	4091656514	gameState			\Default Work Unit\gameState	

State	ID	Name	State Group			Notes
	152105657	titleScreen	gameState			
	688280348	bossLevel	gameState			
	748895195	None	gameState			
	2201105581	credits	gameState			
	2572514751	levelOne	gameState			
	4198606512	levelTransition	gameState			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1350179952	gameSpeed			\Default Work Unit\gameEffects\gameSpeed	

Effect plug-ins	ID	Name	Type				Notes
	3101299514	Slowdown	Wwise Pitch Shifter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28133891	attackWhooshes-002	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\attackWhooshes-002_89DB00BF.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerAttacks\attackWhoosh\attackWhooshes-002		5596
	35617866	munch3	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\munch3_45856743.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerPickUp\playerHealthPick\munch3		22894
	38651332	munch2	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\munch2_45856743.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerPickUp\playerHealthPick\munch2		18241
	44412615	playerHurt-003	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\playerHurt-003_E64689EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerHurt\playerHurt-003		11599
	51235534	powerSelection	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\playerPickUp_6EA5D513.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerPickUp\powerSelection		9348
	81243737	doorClosed-002	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\doorClosed-002_45856743.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\doorEvents\doorClosed\doorClosed-002		28828
	82049524	doorDemonDie	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\Magic_Spells_CastShort_Air_Whistling04_71A99F60.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\doorEvents\doorDemon\doorDemonDie		29291
	94567938	doorClosed-001	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\doorClosed-001_45856743.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\doorEvents\doorClosed\doorClosed-001		29675
	109243815	porcelainBreak-004	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\porcelainBreak-004_BD71254D.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\NPCs\NPCs\enemyFace\porcelainBreak\porcelainBreak-004		29602
	135468555	Brackeys Game Jam Feb 2024_Menu Theme V1_17Feb2024	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\Brackeys Game Jam Feb 2024_Menu Theme V1_17Feb2024_58432D41.wem		\Interactive Music Hierarchy\Default Work Unit\musicPlaylist\musicMenu\Brackeys Game Jam Feb 2024_Menu Theme V1_17Feb2024\Brackeys Game Jam Feb 2024_Menu Theme V1_17Feb2024		1039111
	145169640	playerDie4	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\playerDie4_C31B2DDA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerDie\playerDie4		133751
	165850355	crayonDrops-001	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\crayonDrops-001_75E493DA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\crayonDrop\crayonDrops-001		9951
	171609622	attackHits	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\attackHits_FE5370D0.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerAttacks\playerAttackHits\attackHits		16158
	172235974	playerHurt-004	D:\Game_Production\UnityProjects\BrackeyGJ24\BrackeyGJ24_WwiseProject\.cache\Mac\SFX\playerHurt-004_A5F15DC3.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\playerHurt\playerHurt-004		8125
